,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Totals,Totals.1,Totals.2,Totals.3,Totals.4,Totals.5,Totals.6,Totals.7,Totals.8,Totals.9,Totals.10,Totals.11,Totals.12,Totals.13,Totals.14,Totals.15,Shooting,Shooting.1,Shooting.2,Per Game,Per Game.1,Per Game.2,Per Game.3
17,17,DeMar DeRozan,"Oct 28, '09, TOR vs. CLE",20,1,77,1664,255,512,4,16,148,194,66,223,53,43,18,62,176,662,.498,.250,.763,21.6,8.6,2.9,0.7
18,18,Toney Douglas,"Oct 28, '09, NYK @ MIA",23,1,56,1087,179,391,68,175,55,68,40,108,112,42,3,55,116,481,.458,.389,.809,19.4,8.6,1.9,2.0
19,19,Wayne Ellington,"Oct 28, '09, MIN vs. NJN",22,1,76,1384,190,448,64,162,61,70,33,159,74,20,5,74,72,505,.424,.395,.871,18.2,6.6,2.1,1.0
20,20,Tyreke Evans,"Oct 28, '09, SAC @ OKC",20,1,72,2677,533,1165,36,141,348,465,66,380,414,109,26,216,204,1450,.458,.255,.748,37.2,20.1,5.3,5.8
21,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
23,21,Jonny Flynn,"Oct 28, '09, MIN vs. NJN",20,1,81,2339,397,952,77,215,223,270,24,191,356,82,2,233,98,1094,.417,.358,.826,28.9,13.5,2.4,4.4
24,22,Sundiata Gaines,"Jan 6, '10, UTA vs. MEM",23,1,32,217,38,82,7,26,23,46,6,29,39,12,0,14,17,106,.463,.269,.500,6.8,3.3,0.9,1.2
25,23,Alonzo Gee,"Mar 11, '10, WAS vs. ATL",22,1,11,182,28,59,7,9,18,29,15,33,7,7,1,10,13,81,.475,.778,.621,16.5,7.4,3.0,0.6
26,24,Taj Gibson,"Oct 29, '09, CHI vs. SAS",24,1,82,2204,311,629,0,0,113,175,226,611,70,50,104,114,282,735,.494,,.646,26.9,9.0,7.5,0.9
27,25,Trey Gilder,"Oct 28, '09, MEM vs. DET",25,1,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1.000,,,2.5,1.0,0.5,0.0
28,26,Danny Green,"Nov 12, '09, CLE @ MIA",22,1,20,115,15,39,6,22,4,6,8,17,5,6,3,5,9,40,.385,.273,.667,5.8,2.0,0.9,0.3
29,27,Taylor Griffin,"Nov 4, '09, PHO @ ORL",23,1,8,32,4,10,0,2,2,4,0,2,1,0,2,1,4,10,.400,.000,.500,4.0,1.3,0.3,0.1
